Order | Job | Op | Time(s)
  470 |  15 | 18 | 0.00000000
  471 |  19 | 24 | 0.00000000
  472 |  11 | 18 | 0.00000000
  473 |   3 | 15 | 0.00000000
  474 |  21 | 13 | 0.00000000
  475 |  22 | 19 | 0.00000000
  476 |   1 | 17 | 0.00000000
  477 |   9 | 22 | 0.00000000
  478 |  17 | 18 | 0.00000000
  479 |  20 | 18 | 0.00000000
  480 |  24 | 17 | 0.00000000
  481 |   1 | 18 | 0.00000000
  482 |   2 | 19 | 0.00000000
  483 |   3 | 16 | 0.00000000
  484 |   5 | 18 | 0.00000000
  485 |  10 | 22 | 0.00000000
  486 |  12 | 18 | 0.00000000
  487 |   8 | 16 | 0.00000000
  488 |  14 | 20 | 0.00000000
  489 |  16 | 16 | 0.00000000
  490 |  21 | 14 | 0.00000000
  491 |   4 | 22 | 0.00000000
  492 |   6 | 21 | 0.00000000
  493 |   8 | 17 | 0.00000000
  494 |  15 | 19 | 0.00000000
  495 |  17 | 19 | 0.00000000
  496 |  24 | 18 | 0.00000000
  497 |   0 | 20 | 0.00000000
  498 |   9 | 23 | 0.00000000
  499 |  16 | 17 | 0.00000000
  500 |  21 | 15 | 0.00000000
  501 |  23 | 19 | 0.00000000
  502 |  11 | 19 | 0.00000000
  503 |  14 | 21 | 0.00000000
  504 |  20 | 19 | 0.00000000
  505 |   1 | 19 | 0.00000000
  506 |   2 | 20 | 0.00000000
  507 |   3 | 17 | 0.00000000
  508 |   9 | 24 | 0.00000000
  509 |  15 | 20 | 0.00000000
  510 |   0 | 21 | 0.00000000
  511 |  13 | 21 | 0.00000000
  512 |  16 | 18 | 0.00000000
  513 |  13 | 22 | 0.00000000
  514 |   6 | 22 | 0.00000000
  515 |   7 | 20 | 0.00000000
  516 |  11 | 20 | 0.00000000
  517 |   1 | 20 | 0.00000000
  518 |   6 | 23 | 0.00000000
  519 |   8 | 18 | 0.00000000
  520 |  18 | 18 | 0.00000000
  521 |   3 | 18 | 0.00000000
  522 |   7 | 21 | 0.00000000
  523 |   8 | 19 | 0.00000000
  524 |  12 | 19 | 0.00000000
  525 |  15 | 21 | 0.00000000
  526 |   1 | 21 | 0.00000000
  527 |  22 | 20 | 0.00000000
  528 |   5 | 19 | 0.00000000
  529 |   7 | 22 | 0.00000000
  530 |  16 | 19 | 0.00000000
  531 |  10 | 23 | 0.00000000
  532 |  23 | 20 | 0.00000000
  533 |   1 | 22 | 0.00000000
  534 |   8 | 20 | 0.00000000
  535 |  14 | 22 | 0.00000000
  536 |  17 | 20 | 0.00000000
  537 |  21 | 16 | 0.00000000
  538 |   2 | 21 | 0.00000000
  539 |   4 | 23 | 0.00000000
  540 |   7 | 23 | 0.00000000
  541 |   8 | 21 | 0.00000000
